titulo,status,cidade,estado,texto_preview,link,nota_cliente,categoria
Cobrança indevida e bloqueio de cadastro pela Localiza após locação de veículo substituto pela Ford,RESPONDIDA,Belo Horizonte,MG,"Bom dia.

Ingressei com uma ação judicial contra a empresa Ford em razão de problemas recorrentes apresentados no câmbio automático do meu veículo.

Durante o período em que o automóvel permaneceu em reparo, a Ford disponibilizou um veículo locado junto à Localiza. Para a retirada do veículo, fui obrigado a fornecer meu cartão de crédito para a caução exigida pela locadora. Ressalto que meu veículo era um Ford Focus, porém o carro disponibilizado para substituição foi um Fiat Cronos.

Ao término da locação, realizei a devolução do veículo e a vistoria foi efetuada normalmente, sem qualquer apontamento de avarias ou irregularidades por parte da Localiza. Contudo, após a devolução, passei a receber diversas ligações da locadora informando a existência de supostos danos no veículo e exigindo o pagamento de aproximadamente R$ 1.500,00, alegando a necessidade de reparos e pintura do para-choque dianteiro, para-choque traseiro, coluna e outros componentes.

Não efetuei o pagamento, pois entendo que a cobrança é indevida, uma vez que o veículo foi recebido sem qualquer ressalva no momento da devolução e da vistoria final.

Posteriormente, constatei que meu cadastro foi bloqueado pela Localiza, impedindo-me de realizar novas locações. Recentemente, a empresa onde trabalho tentou alugar um veículo e me cadastrou como condutor autorizado, ocasião em que foi identificado o bloqueio em meu nome, impossibilitando minha utilização do veículo.

Considero essa situação extremamente prejudicial e abusiva, tendo em vista que estou sofrendo restrições decorrentes de uma cobrança que entendo ser indevida e que jamais foi devidamente comprovada pela locadora.

Número do contrato: *****
Produto: LOCALIZA RAC 42
Valor Original: R$ 1.030,40
Valor na data de hoje 02/06/2026: R$ 1.475,53

Caso queira me ligar: ***** ou whats *****",https://www.reclameaqui.com.br/localiza-aluguel-de-carros/cobranca-indevida-e-bloqueio-de-cadastro-pela-localiza-apos-locacao-de-veiculo-substituto-pela-ford_Wow9UIy40UtADdcd/,,Sinistro e Acidente
Cobrança indevida por lavagem de veículo após locação - Agência Consolação,NÃO RESPONDIDA,São Paulo,SP,fiz a locação de um veículo fiquei com ele queze dias antes de devolver o mesmo levei no lava rápido mandei fazer uma lavagem entreguei o carro mais limpo do que quando peguei na agência da consolação por tanto estão cobrando ***** do uma lavagem são muito [Editado pelo Reclame Aqui].,https://www.reclameaqui.com.br/localiza-aluguel-de-carros/cobranca-indevida-por-lavagem-de-veiculo-apos-locacao-agencia-consolacao_Bu2Re0n-atEAabfu/,,Tempo de Atendimento
Solicitação de Exclusão de Apontamento Negativo em CPF - Dívida Prescrita,NÃO RESPONDIDA,Porto Alegre,RS,"Prezados,
Venho por meio desta formalizar reclamação referente à existência de apontamento em meu CPF junto aos órgãos de proteção ao crédito (Serasa/SPC), relacionado a uma dívida anterior ao ano de 2021.
Destaco que, nos termos da legislação vigente, a manutenção de registros negativos deve respeitar os limites legais, especialmente quanto ao prazo prescricional e à veracidade das informações.
Dessa forma, solicito:
V A apresentação do contrato que deu origem à suposta dívida
V A memória de cálculo detalhada do débito
V A comprovação da legalidade da cobrança
V A imediata exclusão do apontamento, caso não haja comprovação válida
Ressalto que a manutenção indevida de negativação pode configurar prática abusiva, nos termos do Código de Defesa do Consumidor.
Aguardo retorno dentro do prazo legal, sob pena de adoção das medidas judiciais cabíveis.
Atenciosamente,
*****
*****",https://www.reclameaqui.com.br/localiza-aluguel-de-carros/solicitacao-de-exclusao-de-apontamento-negativo-em-cpf-divida-prescrita_5C7XJvUxy33YarKw/,,Problema Financeiro
Cobrança indevida de avarias após sinistro e pane em veículo alugado,NÃO RESPONDIDA,Belo Horizonte,MG,"Boa noite, tudo bem?
Meu nome é *****, RG *****, e estou com uma cobrança indevida no meu nome com a empresa localiza.
No feriado da semana santa, em específico no dia 02/04/2026, aluguei um veículo com a empresa referida na categoria Onix da Chevrolet e tive um imprevisto no trajeto destinado, onde o veículo deu uma pane e sofri um acidente deixando 2 pneus furados o dianteiro na parte da frente e o traseiro na parte de trás, ambos do lado direito do veículo. Contudo, acionei o contato de emergência da localiza e fui informado que o veículo seria recolhido e eu seguiria meu trajeto em outro veículo, portanto o sinistro não foi aberto na minha presença e no fechamento do contrato não foi me cobrado nenhum valor adicional a não ser as TAGS de pedágio que havia utilizado. Entretanto após 2 meses recebo uma notificação da empresa localiza, informando que tenho um boleto em aberto no valor de $1225,00 referente as avarias apresentadas decorrente do acidente causado pela pane.
Gostaria de um esclarecimento sobre essa cobrança indevida junto a empresa localiza!",https://www.reclameaqui.com.br/localiza-aluguel-de-carros/cobranca-indevida-de-avarias-apos-sinistro-e-pane-em-veiculo-alugado_GNgqnAxSOUkS0HUv/,,Sinistro e Acidente
Estorno não realizado,NÃO RESPONDIDA,São Paulo,SP,"Entre em sua área restrita para administrar suas respostas aos consumidores, acesse aqui",https://www.reclameaqui.com.br/localiza-aluguel-de-carros/estorno-nao-realizado_yg1jyV8skoe5LddQ/,,Outros
Pane Mecânica em Veículo Locado: Exigência de Encerramento de Contrato e Estorno de Valor Pago,NÃO RESPONDIDA,Itinga do Maranhão,MA,"No dia 30/05/2026, realizei a locação de um veículo na agência da Localiza do Aeroporto de Imperatriz - MA, sob o contrato de locação número *****. Efetuei o pagamento antecipado via Pix no valor total de R$ 457,40, correspondente a duas diárias completas.

Contudo, com apenas cerca de 6 horas de uso, o veículo apresentou uma pane mecânica que interrompeu completamente a prestação do serviço. O carro precisou ser imobilizado e foi levado pelo guincho da própria Localiza no mesmo dia (30/05/2026), impossibilitando a continuidade da minha viagem.

Para minha surpresa e indignação, verifiquei no meu aplicativo da Localiza que o contrato ainda consta como EM ABERTO e o sistema está me cobrando a devolução de um veículo que já foi recolhido pelo guincho de vocês há dias.

Diante do claro vício do serviço (Art. 18 e Art. 20 do Código de Defesa do Consumidor), exijo a regularização imediata do status do meu contrato para ""Encerrado por Pane Mecânica"" e a devolução proporcional dos valores pagos. Como não utilizei a segunda diária e o carro quebrou logo no início da primeira, solicito o estorno via Pix do valor equivalente à diária não utilizada (R$ 228,70) somado ao ajuste do período em que fiquei sem o veículo.

Aguardo o envio do comprovante de estorno na minha conta bancária para evitar o acionamento do Procon e medidas judiciais cabíveis.

Atenciosamente,
*****
CPF: *****
Contrato: *****",https://www.reclameaqui.com.br/localiza-aluguel-de-carros/pane-mecanica-em-veiculo-locado-exigencia-de-encerramento-de-contrato-e-estorno-de-valor-pago_UFQaDebqkQpcLrse/,,Problema Financeiro
Enrola o processo de indenização para vitimas,NÃO RESPONDIDA,Rio de Janeiro,RJ,"Gostaria de registrar minha profunda insatisfação com a empresa Localiza e a forma como o processo de indenização vem sendo conduzido.

Na madrugada do dia 11 de Maio 2026, um veículo alugado pela Localiza (placa *****) colidiu violentamente com minha motocicleta estacionada, bem como com outra motocicleta, causando danos extremamente graves. Após o acidente, o condutor abandonou o local sem prestar qualquer assistência e fugiu, deixando para trás os veículos danificados.

Ao constatar os danos, iniciei imediatamente todos os procedimentos necessários, reunindo fotos, vídeo da câmera de segurança, informações da placa do veículo envolvido e registrando a ocorrência junto às autoridades competentes.

Apesar da gravidade da situação e da identificação do veículo envolvido, precisei insistir diversas vezes junto à Localiza para que o caso fosse efetivamente considerado. Durante 5 dias, recebi apenas a informação de que seria necessário aguardar manifestação do locatário, mesmo se tratando de um caso em que o condutor havia fugido do local do acidente.
Somente após diversas ligações, registro de reclamação e insistência constante, o sinistro foi finalmente aberto.

Desde então, tenho colaborado integralmente com o processo, enviando toda a documentação solicitada sem qualquer atraso. Também fui orientada a apresentar 2 orçamentos da concessionária Honda. Novamente, toda a responsabilidade operacional ficou sob minha responsabilidade. Precisei organizar pessoalmente a remoção da motocicleta, arcar com os custos envolvidos e coordenar toda a logística necessária para que a avaliação fosse realizada.
A concessionária Honda concluiu a análise técnica e apresentou orçamento no valor de R$ 26.536,87. Trata-se de um orçamento que demonstra claramente a inviabilidade econômica do reparo e evidencia um cenário compatível com perda total.

Mesmo diante de toda a documentação já apresentada, das provas existentes, do orçamento técnico da concessionária e da completa ausência de pendências da minha parte, continuo sem qualquer definição sobre o caso!

O que mais causa indignação é que, enquanto aguardo uma decisão, permaneço sem meu principal meio de transporte há semanas. Estou arcando com custos adicionais de deslocamento e sofrendo prejuízos diários em decorrência de um acidente pelo qual não tive qualquer responsabilidade.

Tenho a sensação de que todo o esforço para movimentar este processo recai exclusivamente sobre mim, enquanto a única resposta recebida é a referência ao prazo de até 30 dias para análise!

Diante de todo o histórico do caso, da clareza do orçamento apresentado e dos prejuízos que venho suportando diariamente, solicito que este processo seja efetivamente priorizado e que seja fornecida uma previsão concreta para sua conclusão.
Aguardo um posicionamento e uma solução compatível com a gravidade da situação.

Atenciosamente,

*****
***** (S/C)
Protocolo *****",https://www.reclameaqui.com.br/localiza-aluguel-de-carros/enrola-o-processo-de-indenizacao-para-vitimas_FImq8-sM7zNxhzsv/,,Sinistro e Acidente
Fiz o pagamento para a empresa anova da localiza fiz um acordo com desconto do limpa nome com 90%de desconto parcelado,NÃO RESPONDIDA,São Paulo,SP,"Entre em sua área restrita para administrar suas respostas aos consumidores, acesse aqui",https://www.reclameaqui.com.br/localiza-aluguel-de-carros/fiz-o-pagamento-para-a-empresa-anova-da-localiza-fiz-um-acordo-com-desconto-do-limpa-nome-com-90de-desconto-parcelado_-otIuqF-HvxugPrH/,,Outros
Insatisfação com atendimento e má fé de atendentes em loja de veículos em São Bernardo do Campo.,NÃO RESPONDIDA,São Paulo,SP,"Ola,

Gostaria de registrar minha insatisfação com o Atendimento prestado pela Loja Santa Cruz no que pra mim é um claro caso de má fé dos atendentes da loja. Fui a loja realizar a troca do veículo por problemas na multimídia e sinalizei problemas de limpeza no carro.

O deslocamento que fiz foi da loja onde retirei (SBC Metrópole) até a minha casa e, em seguida, da minha casa até a loja Santa Cruz Shopping (SP). A troca foi feita.

Na devolução do veículo em SBC, a surpresa: sendo cobrado por abastecimento de combustível (que não tinha baixado sequer 1/8 do tanque, limpeza no valor praticamente o dobro do valor padrão e o motivo da troca como ""preferência"".

Pra mim ficou claro o uso da má fé pelos funcionários que me atenderam. Fora o fato de que eu não fui sequer sinalizado sobre qualquer cobrança que seria realizada, o que, se eu soubesse, prontamente teria buscado resolver.",https://www.reclameaqui.com.br/localiza-aluguel-de-carros/insatisfacao-com-atendimento-e-de-atendentes-em-loja-de-veiculos-em-sao-bernardo-do-campo_SXGLbyqAm_M1ZxOM/,,Problema Financeiro
Nome negativado após quitação integral da dívida,NÃO RESPONDIDA,Rio de Janeiro,RJ,"Paguei os valores atrasados da dívida.
Quitei o valor integral, avista a mais de 5 dias.
Até o momento, meu nome consta negativado.
Solicito a regularização imediatamente!",https://www.reclameaqui.com.br/localiza-aluguel-de-carros/nome-negativado-apos-quitacao-integral-da-divida_APyhPBUzW6dOKq1-/,,Problema Financeiro
Cadastro desaprovado sem motivo na Localiza,NÃO RESPONDIDA,Itapeva,SP,"tive meu cadastro na Localiza desaprovado, sem eles mencionarem o motivo.
desrespeito com o consumidor, anos atrás aluguei um veículo na Localiza, sem nenhum problema de cadastro , como tbem nenhum problema na devolução do veículo.
queria saber o motivo da negação",https://www.reclameaqui.com.br/localiza-aluguel-de-carros/cadastro-desaprovado-sem-motivo-na-localiza_gUViJZtE9ZbBgUt7/,,Outros
"Localiza não realizou o pagamento de conserto de veículo após acidente, apesar de aprovação e autorização.",NÃO RESPONDIDA,Uberaba,MG,"Houve um acidente de carro de sistro numero ***** no qual fui vítima de um veículo da Localiza, entrei com todos os documentos e foi aprovado um orçamento no valor de 2079,00 referente a quebra de um retrovisor e um amassado na lateral, o pagamento foi autorizado por eles no dia 06 de maio, solicitaram 15 dias uteis para o pagamento e até hoje não efetuaram.O carro da localiza tem a placa *****.",https://www.reclameaqui.com.br/localiza-aluguel-de-carros/localiza-nao-realizou-o-pagamento-de-conserto-de-veiculo-apos-acidente-apesar-de-aprovacao-e-autorizacao_6tPE0A3_bjjZOJN7/,,Sinistro e Acidente
Cobrança Indevida e Responsabilização por Acidente Causado por Terceiro em Contrato de Assinatura de Veículo,NÃO RESPONDIDA,Cuiabá,MT,"Possuo um contrato de um veículo por assinatura, um T-Cross.
Sofri um acidente no dia 09/03 enquanto conduzia o veículo. O acidente foi causado por um terceiro (bateu na traseira do veículo que estava atrás de mim no trânsito, e também afetou o meu veículo), que por coincidência também é cliente da Localiza de um veículo por assinatura.
Aí começou o meu problema, ao tentar realizar o processo de acidente causado por terceiros, a Localiza não aceitou os dados do terceiro, pois segundo eles não teriam como fazer a Localiza cobrar a Localiza. Ou seja, fui responsabilizado e cobrado pelo acidente (cobrança está nos prints em anexo, assim como a explicação da atendente sobre o problema da Localiza não conseguir realizar o procedimento).
Em seguida, no dia 20/03 me foi informado que o reparo levaria cerca de 60 dias, e que eu só teria direito ao carro reserva por uma fração desse período. Nesse dia já solicitei o cancelamento do contrato, ciente de que haveria a cobrança proporcional ao restante do contrato. Me foi informado que o valor da antecipação do final do contrato seria calculado e lançado em meu aplicativo. Não foi.
Quando comecei a receber a cobrança das mensalidades normais tentei dezenas de vezes contato (prints estao em anexo), para tratar e reafirmar meu desejo de cancelamento do contrato. Em todos
Houve a confirmação do valor, do prazo, confirmação de que o procedimento estava encerrado (prints também em anexo).
Porém, hoje, 02/06 continuo sendo cobrado mensalmente pelo contrato, todos os dias a localiza me oferece a compra do veículo, e o mais absurdo, estão me cobrando pelo acidente causado por outro cliente deles (que assumiu a culpa, fez o BO e também entrou em contato para resolução).",https://www.reclameaqui.com.br/localiza-aluguel-de-carros/cobranca-indevida-e-responsabilizacao-por-acidente-causado-por-terceiro-em-contrato-de-assinatura-de-veiculo_0yLWrt6WV7R53eSs/,,Sinistro e Acidente
Solicitação de Evidências de Cobrança de Para-choque em Sinistro,NÃO RESPONDIDA,Abaetetuba,PA,"Olá,

Solicito, por gentileza, o envio das fotos da vistoria e o detalhamento que justifique a cobrança do para-choque traseiro no sinistro n *******, referente ao contrato BELA442665.

Na foto que enviei, o dano está restrito à tampa da mala, amassada levemente, e não houve impacto no para-choque. No boletim de ocorrência, também ficou registrado que o veículo teve um pequeno amassado na tampa traseira, sem menção a dano no para-choque.

Peço que me enviem as evidências que fundamentaram a inclusão do para-choque na cobrança, pois, com base na foto e no BO, o reparo no para-choque não parece necessário.

Fico no aguardo.

Atenciosamente,
Felipe Fonseca de Oliveira
CPF: *******",https://www.reclameaqui.com.br/localiza-aluguel-de-carros/solicitacao-de-evidencias-de-cobranca-de-para-choque-em-sinistro_LIJiA6Zz-23paU6T/,,Sinistro e Acidente
Cobrança Indevida e Negativação do CPF pela Localiza sem Vínculo Contratual,NÃO RESPONDIDA,São Paulo,SP,"Fui surpreendido recentemente ao consultar o meu CPF e constatar que a empresa Localiza incluiu o meu nome nos órgãos de proteção ao crédito (Serasa/SPC) por conta de uma suposta dívida.
No entanto, eu nunca firmei qualquer tipo de contrato, não aluguei veículo e jamais tive qualquer vínculo comercial ou financeiro com a Localiza.
Trata-se de uma cobrança totalmente indevida e de uma negativação sem qualquer fundamento legal, o que está prejudicando diretamente o meu score de crédito e a minha vida financeira. Suspeito, inclusive, que possa ter ocorrido o uso indevido dos meus dados pessoais ([Editado pelo Reclame Aqui]) por terceiros, algo que a empresa deveria ter verificado com rigor antes de efetuar qualquer registro.
Diante disso, exijo que a Localiza tome as seguintes providências em caráter de urgência:
A exclusão imediata do meu nome e CPF dos cadastros do Serasa e de qualquer outro órgão de proteção ao crédito relacionado a essa cobrança.
A baixa definitiva de qualquer débito ou contrato falsamente registrado em meu nome.
O envio dos comprovantes que originaram essa suposta dívida (contrato assinado, boletos, etc.), para que eu possa tomar as medidas legais cabíveis, caso necessário.
Aguardo um posicionamento e a resolução rápida deste problema, evitando que a situação precise ser levada ao âmbito judicial por danos morais.",https://www.reclameaqui.com.br/localiza-aluguel-de-carros/cobranca-indevida-e-negativacao-do-cpf-pela-localiza-sem-vinculo-contratual_LiQW3Xcoc7-y_lYH/,,Sinistro e Acidente
Não dão baixa em dívida quitada há mais de 1 ano,RESPONDIDA,São Paulo,SP,"Já fiz o pagamento e meu nome ainda consta no Serasa há mais de 1 ano. Não consigo contato por nenhum telefone, preciso de um retorno urgente!",https://www.reclameaqui.com.br/localiza-aluguel-de-carros/nao-dao-baixa-em-divida-quitada-ha-mais-de-1-ano_VkkRwUn_Ard7b2v9/,,Problema Financeiro
Propaganda enganosa na locação de carro com pontos,NÃO RESPONDIDA,Caldas Novas,GO,Hoje por volta das 09:00 aluguei carro com meus 8.500 pontos na hora da retirada foi cobrado uma taxa 88 reais sendo que antes confirmar o veículo estava nítido 300 reais ou 8.500 pontos que propaganda enganosa,https://www.reclameaqui.com.br/localiza-aluguel-de-carros/propaganda-enganosa-na-locacao-de-carro-com-pontos_5adsCILDmKhtm0DY/,,Problema Financeiro
Cobrança indevida de dívida caducada,NÃO RESPONDIDA,São Paulo,SP,"Estão me cobrando por uma dívida que não reconheço do ano de 2016. Mesmo se estivesse devendo, não poderiam cobrar por estar caducada.",https://www.reclameaqui.com.br/localiza-aluguel-de-carros/cobranca-indevida-de-divida-caducada_p1iaDTNcAKEdwUfT/,,Problema Financeiro
Não recebimento de PLR após 6 anos de colaboração e tentativas de contato sem sucesso.,NÃO RESPONDIDA,Belo Horizonte,MG,"Fui colaboradora da empresa por 6 anos, e ao ser desligada, em setembro/25, informaram que eu receberia minha PLR em maio/26, o que não aconteceu. Tenho enviado e-mails e não tenho recebido nenhuma resposta. Por gentileza, quero minha PL!",https://www.reclameaqui.com.br/localiza-aluguel-de-carros/nao-recebimento-de-plr-apos-6-anos-de-colaboracao-e-tentativas-de-contato-sem-sucesso_O-SZyu0FzTcVX3Pk/,,Outros
Cobranças adicionais abusivas,NÃO RESPONDIDA,Teresina,PI,"RECLAMAÇÃO FORMAL COBRANÇA INDEVIDA E SOLICITAÇÃO DE ESTORNO

À Localiza Rent a Car,

Venho por meio desta registrar reclamação formal referente à locação de veículo realizada por intermédio da plataforma Booking.

Efetuei a locação de um veículo pelo período de 3 (três) dias, sendo informado que o contrato contemplava franquia total de ******* km, correspondente a ******* km por dia de locação. Ao final do contrato, houve excedente de aproximadamente ******* km além da franquia contratada.

No momento da contratação, fui informado de que a quilometragem excedente seria cobrada à razão de R$ 0,50 por quilômetro rodado. Contudo, para minha surpresa, a Localiza realizou cobrança de R$ 2,79 por quilômetro excedente, além da incidência de uma taxa adicional de 15% sobre o valor da locação, valores estes que não correspondem às condições que me foram apresentadas no momento da contratação.

Diante disso, solicito:

1. A imediata disponibilização e liberação do valor caucionado (calção), caso ainda esteja retido;
2. O detalhamento completo e discriminado de todas as cobranças efetuadas;
3. A devolução integral dos valores cobrados indevidamente, caso não haja previsão contratual clara e expressa que justifique os valores aplicados;
4. O envio de cópia do contrato e das cláusulas específicas que fundamentaram a cobrança realizada.

Ressalto que, caso a situação não seja solucionada administrativamente em prazo razoável, adotarei as medidas cabíveis junto aos órgãos de defesa do consumidor, incluindo reclamação no Procon, registro na plataforma https://******* e eventual ajuizamento de ação judicial para restituição dos valores cobrados indevidamente, sem prejuízo de eventual pedido de indenização pelos transtornos causados.

Aguardo manifestação urgente para resolução do caso.

Atenciosamente,

Antes de enviar, recomendo conferir no contrato da locação e na reserva do Booking se a cobrança de R$ 0,50/km realmente está registrada por escrito. Se você tiver o contrato ou a fatura, posso ajudar a analisar os valores e calcular exatamente quanto deveria ter sido cobrado.",https://www.reclameaqui.com.br/localiza-aluguel-de-carros/cobrancas-adicionais-abusivas_dDPioT7NuKu4wHS3/,,Sinistro e Acidente
Cobrança indevida de chave de carro por assinatura após solicitação de atendente,NÃO RESPONDIDA,Guarulhos,SP,"Venho por meio deste tentar esclarecer minhas indignação com a empresa,tenho um carro por assinatura e antes de pegar o carro fiquei com um provisório,este provisório ficou bloqueado na porta da minha casa entrei em contato pelo 0800 a atendente verificou que tinha acontecido uma pane no automóvel pediu que eu tirasse todos meus pertences de dentro do carro e deixasse a chave dentro do porta luvas . Fiz o que ela me solicitou e a indaguei ""como vou travar o carro se a chave vai estar dentro do porta luvas ? "" Ela me respondeu que ela mesmo estaria travando o veículo por lá e quando o guincho chegasse destravaria da mesma forma.
Segui o que me foi solicitado não fiquei no local aguardando o guincho pois tinha visitas marcadas do meu trabalho para fazer ,ela travou o carro com a chaves dentro do mesmo .

E agora estou sendo [Editado pelo Reclame Aqui] pela empresa me cobrando uma chave que a própria atendente solicitou deixar dentro do carro,peço encarecidamente que tirem está dívida de 3mil reais do meu nome pois segui o que me foi solicitado.

Por qual motivo eu ficaria com uma chave ?
Como o mecânico fez os testes sem chave já que a empresa alega eu ter ficado com a chave .

A mesma tecnologia que usou para fechar o carro sem a chave foi a mesma que usou para o guincho abrir .

Já fiz mais de 5 solicitação pelo 0800 , esclarecendo o ocorrido e ninguém resolve este problema,peço ajuda pois estou vendo que isso vai além de um atendimento telefônico.",https://www.reclameaqui.com.br/localiza-aluguel-de-carros/cobranca-indevida-de-chave-de-carro-por-assinatura-apos-solicitacao-de-atendente_LcimsctfN3nDQre5/,,Sinistro e Acidente
Documentação,NÃO RESPONDIDA,Belo Horizonte,MG,"Arrematei um veículo da localiza no Palácio dos leilões no dia 16/01 e não foi entregue a documentação , o Palácio dos leilões fala que a comitente no caso a localiza não forneceu a documentação para que fosse entregue",https://www.reclameaqui.com.br/localiza-aluguel-de-carros/documentacao_L1_bu6Np58-nRa8Y/,,Outros
Cobrança abusiva de km excedente em aluguel de carro via Booking.com,RESPONDIDA,Rio Grande,RS,"Realizei o aluguel de um carro pela plataforma booking Contrato *****
Dia 22/05/2026 / Cidade ITAJAI-SC / Carro ONIX PREMIER II 1.
Quando reservei o carro, não me atentei que era km limitado, mas na reserva dizia R$0,50 por km adicional já incluso impostos e outras taxas. Ao retirar o carro na agência de Itajaí, nenhum momento o atendente me informou que era km limitado, isso que falei que iria viajar com o carro e tudo mais. O único interesse dele era de eu contratar seguro, e outros serviços adicionais. Eu estava com pressa, ele me falou que tudo que estava no papel nós já tínhamos conversado, só assinei o documento, peguei a chave a sai. No retorno, ao devolver o carro, informaram que eu tinha um custo pendente de 3 mil reais de km excedente. Fiquei surpreso, como? A localiza me cobrou R$2,51 por km rodado, mesmo na minha reserva com booking informando 0,50 centavos, além disso nem no site da localiza eles alugam ou reservam carro com o custo de R$2,51 o km rodado, por que no meu contrato está esse valor extremamente abusivo? Inclusive os próprios funcionários da agência informaram que esse valor é abusivo, que normalmente não cobram e eu deveria ir atrás do meus direitos e se necessário entrar com processo judicial. Eu já abri registro no booking, eles informaram que entraram em contato com localiza e eles iriam me reembolsar, mas ao abrir protocolo com a localiza, além de demorar mais que o tempo previsto para responder, negaram meu estorno! Estou completamente insatisfeito com os serviços prestados. Solicito reembolso dessa divergência de valores.",https://www.reclameaqui.com.br/localiza-aluguel-de-carros/cobranca-abusiva-de-km-excedente-em-aluguel-de-carro-via_SGrflRm-aSPKGnil/,,Sinistro e Acidente
Cobrança de caução não devolvida e bloqueio de acesso ao aplicativo pela Localiza,RESPONDIDA,Rondonópolis,MT,"Eu queria fazer uma reclamação a localiza fez uma fez uma caução e meu nome um carro e ja devolvir no dia 28, até agora não me devolveu essa calção procurei a localiza e Luís Eduardo Magalhães e não tive resposta outra coisa eles, eles me bloquearam o acesso aos aplicativos, eu gostaria que ela me dissesse. Quando que vai devolver essa calção que está com eles?",https://www.reclameaqui.com.br/localiza-aluguel-de-carros/cobranca-de-caucao-nao-devolvida-e-bloqueio-de-acesso-ao-aplicativo-pela-localiza_elJ2VR-D-JBf1zaH/,,Problema Financeiro
